ID,FileBase,Species,Strain,LocusTag
IMV00045,IMV00045,Cladosporiaceae sp.,IMV 00045,BS091
IMV00236,IMV00236,Byssochlamys sp.,IMV 00236,BS090
IMV00265,IMV00265,Beauveria sp.,IMV 00265,BS089
IMV00293,IMV00293,Fusarium oxysporum,IMV 00293,BS092
IMV00454,IMV00454,Trichoderma sp.,IMV 00454,BS093
IMV00882,IMV00882,Scedosporium sp.,IMV 00882,BS088
IMV01167,IMV01167,Aspergillus aff. floccosus,IMV 01167,BS087
JSC-093350089,JSC-093350089,Aspergillus niger,JSC-093350089,BS086
IMV00045_gr,IMV00045/AB501,Cladosporiaceae sp.,IMV 00045,BS091
IMV00236_gr,IMV00236/AB503,Byssochlamys sp.,IMV 00236,BS090
IMV00265_gr,IMV00265/AB505,Beauveria sp.,IMV 00265,BS089
IMV00293_gr,IMV00293/AB507,Fusarium oxysporum,IMV 00293,BS092
IMV00454_gr,IMV00454/AB509,Trichoderma sp.,IMV 00454,BS093
IMV00882_gr,IMV00882/AB511,Scedosporium sp.,IMV 00882,BS088
IMV01167_gr,IMV01167/AB513_gr,Aspergillus aff. floccosus,IMV 01167,BS087
JSC-093350089_gr,JSC-093350089/AB515,Aspergillus niger,JSC-093350089,BS086
